"Date","Time","Bin","Lat","Long","Observer","object","size"
2011-03-04,18991230,"A",41.100829,-71.110745,"KW",2706,1
2011-02-17,18991230,"B",41.10093,-71.686817,"KW",2711,2
2011-05-02,18991230,"A",41.101137,-71.563299,"KW",2717,1
2011-05-13,18991230,"A",41.101596,-71.021437,"KW",2725,1
2011-02-23,18991230,"A",41.102703,-71.645639,"JV",2746,1
2011-03-15,18991230,"A",41.102829,-71.689038,"JV",2753,1
2011-04-07,18991230,"A",41.103403,-71.765904,"JV",2762,1
2011-04-19,18991230,"A",41.103685,-71.724334,"JV",2767,1
2011-04-19,18991230,"A",41.103685,-71.724334,"KW",2768,1
2011-02-23,18991230,"A",41.103741,-71.645799,"KW",2770,24
2011-01-28,18991230,"A",41.104226,-71.773264,"KW",2777,1
2011-01-28,18991230,"B",41.104373,-71.644347,"JV",2782,1
2011-05-13,18991230,"A",41.105038,-71.757992,"KW",2793,1
2011-12-13,18991230,"B",41.10516,-71.688071,"KW",2794,1
2011-04-19,NA,"A",41.106355,-71.610366,"JV",2817,1
2011-05-13,18991230,"A",41.106665,-71.650726,"KW",2828,1
2011-04-07,18991230,"A",41.107362,-71.647606,"JV",2835,1
2011-05-31,18991230,"A",41.107562,-71.611257,"JV",2838,1
2011-12-04,18991230,"B",41.107578,-71.770174,"KW",2840,1
2011-01-28,18991230,"B",41.107622,-71.645168,"KW",2842,1
2011-05-13,18991230,"A",41.108839,-71.650862,"KW",2863,1
2011-02-07,18991230,"A",41.108942,-71.612897,"KW",2865,1
2011-02-07,18991230,"A",41.109739,-71.726896,"KW",2879,1
2011-05-02,18991230,"A",41.109839,-71.563586,"KW",2885,1
2011-05-02,18991230,"A",41.110224,-70.943972,"JV",2892,3
2011-01-28,18991230,"A",41.110269,-71.147867,"JV",2896,2
2011-05-13,18991230,"A",41.110495,-71.758124,"KW",2900,1
2011-03-15,18991230,"A",41.110852,-71.689883,"KW",2903,1
2011-03-15,18991230,"A",41.111384,-70.945018,"KW",2909,1
2011-04-19,18991230,"B",41.111921,-71.726171,"KW",2912,1
2011-02-07,18991230,"A",41.112228,-70.985697,"KW",2918,1
2011-05-31,18991230,"A",41.112793,-71.61143,"KW",2934,2
2011-04-07,18991230,"A",41.113317,-71.520318,"KW",2945,1
2011-02-23,18991230,"B",41.113353,-71.276063,"JV",2946,1
2011-01-28,18991230,"C",41.116032,-71.029374,"KW",2997,3
2011-01-28,18991230,"A",41.11619,-71.646985,"KW",3001,1
2011-05-13,18991230,"A",41.116364,-71.404824,"JV",3007,2
2011-02-23,18991230,"A",41.116529,-71.521983,"KW",3008,1
2011-02-07,18991230,"A",41.116991,-71.726676,"KW",3016,2
2011-02-17,18991230,"B",41.117111,-71.687934,"KW",3022,3
2011-11-26,18991230,"B",41.117956,-70.9445,"KW",3045,1
2011-05-13,18991230,"A",41.119161,-71.758569,"KW",3068,1
2011-03-04,18991230,"A",41.119961,-71.613805,"KW",3083,12
2011-12-13,18991230,"B",41.120809,-71.689329,"KW",3098,2
2011-12-13,18991230,"C",41.120809,-71.689329,"KW",3099,1
2011-04-19,18991230,"A",41.120956,-71.612432,"KW",3101,1
2011-04-19,18991230,"B",41.120956,-71.612432,"JV",3102,3
2011-02-23,18991230,"A",41.121124,-71.399531,"KW",3106,1
2011-02-07,18991230,"A",41.121694,-70.986487,"KW",3114,1
2011-12-04,18991230,"B",41.122579,-71.771862,"KW",3129,1
2011-05-02,18991230,"B",41.122796,-70.943393,"JV",3132,1
2011-05-02,18991230,"A",41.122846,-71.070103,"JV",3134,1
2011-01-28,18991230,"A",41.123447,-71.774894,"KW",3147,15
2011-01-28,18991230,"B",41.123639,-71.648261,"KW",3151,1
2011-05-02,18991230,"A",41.123942,-71.070113,"KW",3155,3
2011-12-09,18991230,"A",41.124297,-71.480106,"KW",3165,1
2011-12-13,18991230,"A",41.124712,-70.944415,"Ellen",3169,2
2011-02-23,18991230,"A",41.124901,-71.648737,"KW",3176,1
2011-05-13,18991230,"A",41.1258,-70.905879,"JV",3192,1
2011-04-07,18991230,"A",41.126191,-71.648531,"KW",3196,5
2011-03-15,18991230,"A",41.126511,-71.576017,"KW",3204,1
2011-02-17,18991230,"B",41.126758,-71.688681,"KW",3209,2
2011-12-04,18991230,"A",41.127141,-71.647822,"KW",3213,1
2011-04-07,18991230,"A",41.127172,-71.648547,"JV",3214,2
2011-12-13,18991230,"B",41.127183,-71.689981,"KW",3215,1
2011-01-28,18991230,"B",41.127949,-71.775139,"KW",3235,1
2011-02-07,18991230,"A",41.129863,-71.233843,"KW",3284,1
2011-12-09,18991230,"B",41.130237,-70.987039,"KW",3290,1
2011-12-13,18991230,"A",41.130816,-71.690146,"KW",3302,1
2011-12-13,18991230,"A",41.130816,-71.690146,"Ellen",3303,1
2011-12-13,18991230,"B",41.130816,-71.690146,"Ellen",3304,1
2011-03-04,18991230,"A",41.131466,-71.479632,"KW",3310,2
2011-02-17,18991230,"B",41.131676,-70.946098,"KW",3311,1
2011-12-09,18991230,"B",41.132098,-71.609424,"KW",3319,1
2011-02-23,18991230,"B",41.132132,-71.649108,"KW",3321,1
2011-12-04,18991230,"B",41.132619,-71.648482,"Ellen",3335,1
2011-12-13,18991230,"B",41.13359,-71.690347,"KW",3361,1
2011-02-23,18991230,"B",41.133974,-71.774805,"JV",3369,1
2011-05-13,18991230,"A",41.134261,-71.406337,"KW",3378,1
2011-01-28,18991230,"A",41.134323,-71.520092,"KW",3381,1
2011-04-07,18991230,"A",41.13529,-71.76581,"JV",3400,1
2011-02-23,18991230,"A",41.135316,-71.649162,"KW",3402,1
2011-12-09,18991230,"A",41.136029,-71.610133,"Ellen",3419,1
2011-01-28,18991230,"A",41.136313,-71.77577,"KW",3429,12
2011-02-07,18991230,"A",41.136404,-71.728202,"KW",3435,1
2011-02-17,18991230,"A",41.137268,-71.688224,"KW",3450,1
2011-02-17,18991230,"B",41.137268,-71.688224,"KW",3451,1
2011-04-19,18991230,"A",41.138633,-71.615765,"KW",3490,1
2011-01-28,18991230,"B",41.138665,-71.649796,"JV",3491,3
2011-05-13,18991230,"B",41.13952,-71.406762,"JV",3516,1
2011-03-15,18991230,"A",41.139659,-71.691202,"KW",3520,1
2011-05-02,18991230,"A",41.139715,-71.685225,"KW",3521,2
2011-01-28,18991230,"A",41.139724,-70.897268,"KW",3522,4
2011-02-23,18991230,"A",41.140547,-71.649297,"KW",3532,2
2011-04-19,18991230,"A",41.140562,-71.481083,"JV",3533,1
2011-04-07,18991230,"A",41.141027,-71.649815,"KW",3544,5
2011-11-06,18991230,"C",41.141125,-71.361544,"JV",3550,2
2011-03-15,18991230,"B",41.141649,-71.691227,"KW",3558,6
2011-02-17,18991230,"B",41.142031,-71.688434,"KW",3569,1
2011-12-13,18991230,"A",41.142876,-71.194428,"Ellen",3579,1
2011-04-19,18991230,"A",41.143064,-71.730297,"KW",3583,2
2011-03-15,18991230,"A",41.143624,-71.691217,"KW",3600,4
2011-02-07,18991230,"A",41.143702,-70.987893,"KW",3602,1
